OTU;OTU1;OTU2;OTU3;OTU4;OTU5;OTU6;OTU7;OTU8;OTU9;OTU10;OTU11;OTU12;OTU13;OTU14;OTU15;OTU16;OTU17;OTU18;OTU19;OTU20;OTU21;OTU22;OTU23;OTU24;OTU25;OTU26;OTU27;OTU28;OTU29;OTU30;OTU31;OTU32;OTU33;OTU34;OTU35;OTU36;OTU37;OTU38;OTU39;OTU40
SW46;33258;0;0;13616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SW30;28529;0;0;21470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SW33;30645;0;0;19354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SW43;34259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SW42;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA158;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SW19;0;0;0;0;18978;0;0;0;0;0;0;0;0;0;0;31021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA128;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA53;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA57;0;0;0;0;0;16666;0;0;0;0;0;0;0;33333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA187;0;0;0;0;0;0;44573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5426;0;0;0;0;0;0
SA199;0;0;0;0;0;0;34959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA172;0;0;0;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA226;0;0;0;0;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA24;0;0;0;0;0;0;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SW13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;0
