OTU;Kingdom;Class;Order;Family;Genus;Species
mam16s10;Animalia;Mammalia;Rodentia;Muridae;Rhabdomys;Rhabdomys pumilio
mam16s11;Animalia;Mammalia;Carnivora;NA;NA;NA
mam16s12;Animalia;Mammalia;Carnivora;NA;NA;NA
mam16s13;Animalia;NA;NA;NA;NA;NA
mam16s14;Animalia;Aves;Charadriiformes;Alcidae;Alca;Alca torda
mam16s15;Animalia;Mammalia;Carnivora;Phocidae;Phoca;NA
mam16s16;Animalia;Mammalia;Rodentia;Muridae;Mus;Mus caroli
mam16s17;Animalia;Mammalia;Primates;Cercopithecidae;Papio;NA
mam16s18;Animalia;Mammalia;Hyracoidea;Procaviidae;Procavia;Procavia capensis
mam16s19;Animalia;Mammalia;Hyracoidea;Procaviidae;Procavia;Procavia capensis
mam16s2;Animalia;Mammalia;Carnivora;Viverridae;NA;NA
mam16s20;Animalia;Mammalia;Rodentia;Muridae;Aethomys;NA
mam16s21;Animalia;Mammalia;Macroscelidea;Macroscelididae;Elephantulus;NA
mam16s22;Animalia;Mammalia;Primates;Cercopithecidae;Cercopithecus;NA
mam16s23;Animalia;Mammalia;NA;NA;NA;NA
mam16s24;Animalia;Mammalia;Artiodactyla;Bovidae;Aepyceros;Aepyceros melampus
mam16s25;Animalia;Mammalia;Carnivora;Herpestidae;NA;NA
mam16s26;Animalia;Mammalia;Rodentia;Muridae;Mastomys;NA
mam16s27;Animalia;Amphibia;Anura;Bufonidae;Sclerophrys;NA
mam16s28;Animalia;Mammalia;Rodentia;Muridae;Otomys;Otomys irroratus
mam16s29;Animalia;Mammalia;Carnivora;Felidae;NA;NA
mam16s3;Animalia;Mammalia;Carnivora;Ursidae;Ursus;NA
mam16s30;Animalia;Mammalia;Carnivora;Herpestidae;Herpestes;Herpestes ichneumon
mam16s31;Animalia;Mammalia;Artiodactyla;Cervidae;Alces;Alces alces
mam16s32;Animalia;Mammalia;Artiodactyla;Bovidae;Cephalophus;NA
mam16s33;Animalia;Amphibia;Anura;Ptychadenidae;Ptychadena;Ptychadena aequiplicata
mam16s34;Animalia;Amphibia;Anura;Dendrobatidae;Allobates;NA
mam16s35;Animalia;Mammalia;Primates;Galagidae;Otolemur;Otolemur crassicaudatus
mam16s36;Animalia;Mammalia;Eulipotyphla;Soricidae;Suncus;NA
mam16s37;Animalia;Mammalia;Carnivora;Canidae;Canis;Canis lupus
mam16s38;Animalia;Amphibia;Anura;Brevicipitidae;Breviceps;NA
mam16s39;Animalia;Mammalia;Primates;Hominidae;NA;NA
mam16s4;Animalia;Mammalia;Primates;Hominidae;Homo;Homo sapiens
mam16s40;Animalia;Mammalia;Rodentia;Muridae;Thallomys;Thallomys paedulcus
mam16s41;Animalia;NA;NA;NA;NA;NA
mam16s42;Animalia;Mammalia;Rodentia;Muridae;Mus;Mus musculus
mam16s43;Animalia;Mammalia;Artiodactyla;Bovidae;Kobus;NA
mam16s44;Animalia;NA;NA;NA;NA;NA
mam16s45;Animalia;Mammalia;Primates;Hominidae;Homo;Homo sapiens
mam16s5;Animalia;Mammalia;Carnivora;NA;NA;NA
mam16s6;Animalia;Mammalia;Rodentia;Muridae;NA;NA
mam16s7;Animalia;Mammalia;Carnivora;NA;NA;NA
mam16s8;Animalia;Mammalia;Eulipotyphla;Soricidae;Crocidura;NA
mam16s9;Animalia;Mammalia;Eulipotyphla;Soricidae;Myosorex;NA
coleop1;Animalia;Insecta;Blattodea;Termitidae;Macrotermes;NA
coleop10;Animalia;Insecta;Blattodea;Termitidae;Macrotermes;NA
coleop11;Animalia;Insecta;NA;NA;NA;NA
coleop12;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
coleop13;Animalia;Diplopoda;Spirostreptida;Harpagophoridae;NA;NA
coleop14;Animalia;Insecta;Orthoptera;Gryllidae;Podoscirtus;Podoscirtus sp. MCJ-2002
coleop15;Animalia;Insecta;Lepidoptera;NA;NA;NA
coleop16;Animalia;Insecta;Coleoptera;NA;NA;NA
coleop17;Animalia;Insecta;Orthoptera;Gryllidae;NA;NA
coleop18;Animalia;Diplopoda;Spirostreptida;Spirostreptidae;Bicoxidens;Bicoxidens flavicollis
coleop19;Animalia;Insecta;Blattodea;Termitidae;Microtermes;Microtermes sp. B TB-2017
coleop2;Animalia;Insecta;Orthoptera;Acrididae;Schistocerca;NA
coleop20;Animalia;NA;NA;NA;NA;NA
coleop21;Animalia;Insecta;Lepidoptera;Zygaenidae;Zygaena;NA
coleop22;Animalia;Insecta;Orthoptera;Anostostomatidae;Libanasidus;Libanasidus vittatus
coleop23;Animalia;Diplopoda;Spirostreptida;NA;NA;NA
coleop24;Animalia;Insecta;Orthoptera;Gryllidae;NA;NA
coleop25;Animalia;Insecta;Diptera;NA;NA;NA
coleop26;Animalia;Mammalia;Carnivora;NA;NA;NA
coleop27;Animalia;Insecta;Diptera;NA;NA;NA
coleop28;Animalia;Insecta;Lepidoptera;NA;NA;NA
coleop29;Animalia;Insecta;Lepidoptera;NA;NA;NA
coleop3;Animalia;Diplopoda;NA;NA;NA;NA
